	high_min_wage		unrestricted_open_carry		no_partial_abortion_ban
AK	0		1		0
AL	0		0		0
AR	0		1		0
AZ	0		1		0
CA	1		0		1
CO	0		0		1
CT	1		1		1
DE	1		1		1
FL	0		0		0
GA	0		0		0
HI	0		0		1
IA	0		0		0
ID	0		1		0
IL	0		0		1
IN	0		0		0
KS	0		1		0
KY	0		1		0
LA	0		1		0
MA	1		0		1
MD	0		0		1
ME	0		1		1
MI	0		1		0
MN	0		0		1
MO	0		0		0
MS	0		1		0
MT	0		1		0
NC	0		1		1
ND	0		0		0
NE	0		1		0
NH	0		1		0
NJ	0		0		0
NM	0		1		0
NV	0		1		1
NY	0		0		1
OH	0		1		0
OK	0		0		0
OR	1		1		1
PA	0		0		1
RI	1		0		0
SC	0		0		0
SD	0		1		0
TN	0		0		0
TX	0		0		0
UT	0		0		0
VA	0		0		0
VT	1		1		1
WA	1		0		1
WI	0		1		0
WV	0		1		0
WY	0		1		1